  1996.0416;  2907; 0;000
  1996.1250;  2901; 0;000
  1996.2084;  2917; 0;000
  1996.2916;  2923; 0;000
  1996.3750;  2938; 0;000
  1996.4584;  3003; 0;000
  1996.5416;  2961; 0;000
  1996.6250;  2892; 0;000
  1996.7084;  2899; 0;000
  1996.7916;  2871; 0;000
  1996.8750;  2870; 0;000
  1996.9584;  2895; 0;000
  1997.0416;  2889; 0;000
  1997.1250;  2822; 0;000
  1997.2084;  2904; 0;000
  1997.2916;  2917; 0;000
  1997.3750;  2955; 0;000
  1997.4584;  3061; 0;000
  1997.5416;  3026; 0;000
  1997.6250;  2928; 0;000
  1997.7084;  2895; 0;000
  1997.7916;  2972; 0;000
  1997.8750;  2938; 0;000
  1997.9584;  2849; 0;000
  1998.0416;  2793; 0;000
  1998.1250;  2813; 0;000
  1998.2084;  2829; 0;000
  1998.2916;  2931; 0;000
  1998.3750;  2943; 0;000
  1998.4584;  2954; 0;000
  1998.5416;  2972; 0;000
  1998.6250;  2935; 0;000
  1998.7084;  2906; 0;000
  1998.7916;  2891; 0;000
  1998.8750;  2872; 0;000
  1998.9584;  3016; 0;000
  1999.0416;  2974; 0;000
  1999.1250;  2932; 0;000
  1999.2084;  2933; 0;000
  1999.2916;  2957; 0;000
  1999.3750;  3055; 0;000
  1999.4584;  3004; 0;000
  1999.5416;  3020; 0;000
  1999.6250;  2975; 0;000
  1999.7084;  2989; 0;000
  1999.7916;  2925; 0;000
  2000.0416;  2969; 0;000
  2000.1250;  2887; 0;000
  2000.2084;  2923; 0;000
  2000.2916;  2969; 0;000
  2000.3750;  3009; 0;000
  2000.4584;  2989; 0;000
  2000.5416;  2927; 0;000
  2000.6250;  2935; 0;000
  2000.7084;  2923; 0;000
  2000.7916;  2921; 0;000
  2000.8750;  2909; 0;000
  2000.9584;  2907; 0;000
  2001.0416;  2901; 0;000
  2001.1250;  2876; 0;000
  2001.2084;  2938; 0;000
  2001.2916;  2974; 0;000
  2001.3750;  3004; 0;000
  2001.4584;  3028; 0;000
  2001.5416;  2940; 0;000
  2001.6250;  2892; 0;000
  2001.7084;  2899; 0;000
  2001.7916;  2848; 0;000
  2001.8750;  2927; 0;000
  2001.9584;  2970; 0;000
  2002.0416;  2944; 0;000
  2002.1250;  2862; 0;000
  2002.2084;  2960; 0;000
  2002.2916;  2952; 0;000
  2002.3750;  2976; 0;000
  2002.4584;  3036; 0;000
  2002.5416;  2732; 0;000
  2002.6250;  2979; 0;000
  2002.7084;  2889; 0;000
  2002.7916;  2931; 0;000
  2002.8750;  2938; 0;000
  2002.9584;  2863; 0;000
  2003.0416;  2918; 0;000
  2003.1250;  2909; 0;000
  2003.2084;  2937; 0;000
  2003.2916;  2949; 0;000
  2003.3750;  2942; 0;000
  2003.5416;  2959; 0;000
  2003.6250;  2887; 0;000
  2003.7084;  2929; 0;000
  2003.7916;  2883; 0;000
  2003.8750;  2948; 0;000
  2003.9584;  2925; 0;000
  2004.0416;  3168; 0;000
  2004.1250;  2861; 0;000
  2004.2084;  2914; 0;000
  2004.2916;  2943; 0;000
  2004.3750;  2988; 0;000
  2004.4584;  3095; 0;000
  2004.5416;  2962; 0;000
  2004.6250;  2892; 0;000
  2004.7084;  2855; 0;000
  2004.7916;  2910; 0;000
  2004.8750;  2990; 0;000
  2004.9584;  2977; 0;000
  2005.0416;  2905; 0;000
  2005.1250;  2909; 0;000
  2005.2084;  2923; 0;000
  2005.2916;  2935; 0;000
  2005.3750;  2974; 0;000
  2005.4584;  3018; 0;000
  2005.5416;  2931; 0;000
  2005.6250;  2923; 0;000
  2005.7084;  2844; 0;000
  2005.7916;  2850; 0;000
  2005.8750;  2860; 0;000
  2005.9584;  2910; 0;000
  2006.0416;  2831; 0;000
  2006.1250;  2896; 0;000
  2006.2084;  2890; 0;000
  2006.2916;  2919; 0;000
  2006.3750;  2947; 0;000
  2006.4584;  2980; 0;000
  2006.5416;  2962; 0;000
  2006.6250;  2877; 0;000
  2006.7084;  2897; 0;000
  2006.7916;  2783; 0;000
  2006.8750;  2970; 0;000
